id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13148978,Fully furnished let - Lake views!,73345778,Ahmar,Nyon,Gland,46.41676,6.28262,Entire home/apt,,7,2,2016-07-27,0.02,1,0,0,
13162891,Parfait pour un séjour à Lausanne,32759633,Fabien,Lausanne,Lausanne,46.52266,6.64566,Entire home/apt,95,7,17,2023-10-12,0.18,1,74,1,
13181494,"Belle chambre près centre, sdb privée, parking",15042226,Claire,Lausanne,Lausanne,46.53895,6.65156,Private room,58,4,43,2024-02-02,0.48,1,105,10,
13183657,Loft haut standing,73744906,Jérôme,Broye-Vully,Corcelles-près-Payerne,46.83316,6.9631,Entire home/apt,,2,1,2016-08-29,0.01,1,0,0,
13216272,"Jolie chambre à louer, calme & verdure",74119247,Tasmine,Nyon,Arzier-Le Muids,46.45538,6.2189,Private room,,1,0,,,1,0,0,
13242057,All year vacations at Villars-sur-Ollon,74413087,Dimitris,Aigle,Ollon,46.29804,7.0563,Entire home/apt,,7,0,,,1,0,0,
13259255,2 pièces vue lac sur Lutry/Lausanne. Terrasse,42746552,Francois,Lavaux-Oron,Lutry,46.51196,6.70069,Entire home/apt,158,1,78,2023-12-10,0.83,2,362,14,
13260405,Ravissant appartement vue lac Lutry/Lausanne,42746552,Francois,Lavaux-Oron,Lutry,46.51338,6.69876,Entire home/apt,219,2,172,2024-02-11,1.85,2,321,32,
13273120,19- Chambre indépendante au vert pleine de charme,26466415,Pierre,Lausanne,Lausanne,46.56245,6.69961,Private room,46,30,17,2020-12-18,0.19,10,68,0,
13277208,Grande et jolie chambre,35021745,Vouilloz,Lavaux-Oron,Pully,46.51152,6.66463,Private room,,1,2,2016-06-26,0.02,1,0,0,
13285678,Ferienhaus im Grünen am See,6282846,Sina,Broye-Vully,Cudrefin,46.95708,7.01728,Entire home/apt,110,2,39,2023-07-07,0.46,1,206,2,
13286980,Chambre Edelweiss/Chalet La Croisée,72507201,Evelyne,Aigle,Ormont-Dessus,46.35477,7.11685,Private room,140,1,2,2024-01-27,0.02,3,330,1,
13307614,Room with bathroom charming duplex near Unil EPFL,73718755,Amel,Ouest lausannois,Chavannes-près-Renens,46.5267,6.57214,Private room,,1,20,2016-11-29,0.21,1,0,0,
13320687,RDP35 Montreux - Perfect for the Jazz Festival!,68872916,Nick,Riviera-Pays-d'Enhaut,Montreux,46.4537,6.90561,Entire home/apt,,3,0,,,1,0,0,
13328071,2.5 rooms appartment in the center of Yverdon,75414523,Jeremy,Jura-Nord vaudois,Yverdon-les-Bains,46.77935,6.63747,Entire home/apt,,1,5,2016-09-10,0.05,2,0,0,
